"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\danno\OneDrive\Desktop\MBRServer\middleware\auth.js", "JavaScript", 18, 0, 0, 5, 23
"c:\Users\danno\OneDrive\Desktop\MBRServer\middleware\socketMiddleware.js", "JavaScript", 19, 0, 0, 4, 23
"c:\Users\danno\OneDrive\Desktop\MBRServer\models\game.js", "JavaScript", 42, 0, 0, 6, 48
"c:\Users\danno\OneDrive\Desktop\MBRServer\models\player.js", "JavaScript", 147, 0, 0, 24, 171
"c:\Users\danno\OneDrive\Desktop\MBRServer\models\stats.js", "JavaScript", 56, 0, 0, 4, 60
"c:\Users\danno\OneDrive\Desktop\MBRServer\package.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\danno\OneDrive\Desktop\MBRServer\routers\game.js", "JavaScript", 4, 0, 0, 5, 9
"c:\Users\danno\OneDrive\Desktop\MBRServer\routers\player.js", "JavaScript", 102, 0, 0, 14, 116
"c:\Users\danno\OneDrive\Desktop\MBRServer\routers\stats.js", "JavaScript", 12, 0, 0, 5, 17
"c:\Users\danno\OneDrive\Desktop\MBRServer\server.js", "JavaScript", 44, 0, 1, 15, 60
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\classes\ai.js", "JavaScript", 30, 0, 0, 8, 38
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\classes\gameInstance.js", "JavaScript", 38, 0, 0, 9, 47
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\classes\gamestate.js", "JavaScript", 94, 0, 0, 5, 99
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\classes\index.js", "JavaScript", 4, 0, 0, 1, 5
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\classes\playerstate.js", "JavaScript", 45, 0, 0, 2, 47
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\constants.js", "JavaScript", 122, 0, 0, 13, 135
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\events\eventhandlers\customGameEvents.js", "JavaScript", 167, 0, 3, 19, 189
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\events\eventhandlers\disconnect.js", "JavaScript", 19, 0, 4, 5, 28
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\events\eventhandlers\friendEvents.js", "JavaScript", 110, 0, 0, 13, 123
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\events\eventhandlers\gameEvents.js", "JavaScript", 110, 0, 0, 11, 121
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\events\eventhandlers\statusChange.js", "JavaScript", 12, 0, 0, 3, 15
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\events\onConnection.js", "JavaScript", 22, 0, 0, 4, 26
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\events\registerEvents.js", "JavaScript", 35, 0, 6, 11, 52
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\functions\errorhandling.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\functions\gamefunctions.js", "JavaScript", 19, 0, 0, 2, 21
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\functions\helpers.js", "JavaScript", 73, 0, 0, 12, 85
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\functions\questions.js", "JavaScript", 79, 0, 12, 21, 112
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\functions\queueCleanup.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\functions\scheduledTasks.js", "JavaScript", 11, 0, 0, 3, 14
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\matchmaking.js", "JavaScript", 179, 0, 31, 24, 234
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\restrictedwords.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\danno\OneDrive\Desktop\MBRServer\utils\testJSON.json", "JSON", 0, 23, 0, 0, 23
"Total", "-", 1614, 52, 57, 251, 1974